Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Min_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKsv,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Expected_xG_stats_shooting_9,Expected_npxG_stats_shooting_9,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_CrdY_stats_misc_9,Performance_CrdR_stats_misc_9,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Adam Webster,eng ENG,DF,29,14,11,887,9.9,0,0,0,0,0,0,1,0,0.2,0.2,0.5,0.7,8,63,2,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,29.0,9.9,0.0,5.0,1.0,20.0,0.51,0.1,0.0,0.0,10.8,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,Matches,Brighton,636.0,725.0,87.7,11765.0,4541.0,242.0,257.0,94.2,333.0,354.0,94.1,53.0,97.0,54.6,0.0,0.5,0.3,-0.5,3.0,64.0,2.0,0.0,63.0,650.0,73.0,30.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,14.0,1.42,10.0,2.0,0.0,2.0,0.0,0.0,4.0,0.41,2.0,1.0,0.0,1.0,0.0,0.0,10.0,6.0,5.0,4.0,1.0,6.0,14.0,42.9,8.0,16.0,9.0,7.0,20.0,30.0,41.0,2.0,824.0,119.0,389.0,399.0,43.0,15.0,824.0,3.0,1.0,33.3,2.0,66.7,476.0,2600.0,1475.0,8.0,6.0,0.0,5.0,1.0,552.0,2.0,63,25.9,11,77,8,3,14,7,2.29,26,11,+15,+1.52,+1.81,19.0,14.3,+4.6,+0.47,+0.49,1.0,0.0,0.0,7.0,2.0,1.0,0.0,1.0,0.0,35.0,24.0,6.0,80.0
Bart Verbruggen,nl NED,GK,21,36,36,3240,36.0,0,1,1,0,0,0,5,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.03,0.03,0.00,0.03,0.00,0.00,0.00,0.00,0.00,Matches,Brighton,nl NED,GK,21.0,36.0,3240.0,58.0,1.61,143.0,87.0,65.7,14.0,13.0,9.0,7.0,19.4,9.0,0.0,0.0,Matches,Brighton,1.0,4.0,2.0,51.0,0.31,-5.0,-0.14,122.0,386.0,31.6,1226.0,122.0,26.9,29.7,83.0,67.5,48.5,414.0,27.0,6.5,47.0,1.31,13.9,nl NED,GK,21.0,36.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Brighton,1011.0,1315.0,76.9,23986.0,16175.0,287.0,289.0,99.3,476.0,484.0,98.3,242.0,528.0,45.8,1.0,0.0,0.0,1.0,1.0,20.0,1.0,0.0,2.0,1164.0,145.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0,0.14,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,29.0,5.0,1406.0,1109.0,1392.0,14.0,0.0,0.0,1406.0,2.0,2.0,100.0,0.0,0.0,955.0,3507.0,1804.0,0.0,1.0,1.0,2.0,0.0,909.0,0.0,90,94.7,36,90,36,0,N/a,0,1.53,61,58,+3,+0.08,-1.92,55.2,52.7,+2.5,+0.07,-0.75,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,59.0,10.0,1.0,90.9
Billy Gilmour,sct SCO,MF,23,2,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,sct SCO,MF,23.0,1.1,0.0,1.0,0.0,0.0,0.92,0.0,0.0,N/a,25.5,1.0,0.0,0.1,0.1,0.08,-0.1,-0.1,Matches,Brighton,58.0,67.0,86.6,980.0,346.0,36.0,38.0,94.7,18.0,22.0,81.8,4.0,7.0,57.1,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,11.0,65.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,2.76,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,1.0,0.0,3.0,4.0,75.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,73.0,2.0,14.0,46.0,13.0,0.0,73.0,2.0,1.0,50.0,1.0,50.0,44.0,210.0,117.0,2.0,0.0,0.0,0.0,0.0,58.0,2.0,49,2.9,1,89,0,1,9,0,3.00,2,1,+1,+0.92,+0.76,1.6,1.3,+0.2,+0.22,+0.11,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,N/a
Brajan Gruda,de GER,"MF,FW",20,21,8,687,7.6,1,4,5,1,0,0,0,0,1.2,1.2,2.1,3.3,22,26,57,0.13,0.52,0.66,0.13,0.66,0.16,0.28,0.43,0.16,0.43,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,de GER,"MF,FW",20.0,7.6,1.0,11.0,5.0,45.5,1.44,0.66,0.09,0.2,16.9,2.0,0.0,1.2,1.2,0.11,-0.2,-0.2,Matches,Brighton,187.0,251.0,74.5,2759.0,970.0,108.0,128.0,84.4,46.0,63.0,73.0,18.0,36.0,50.0,4.0,2.1,1.9,1.9,23.0,12.0,12.0,1.0,26.0,211.0,40.0,7.0,2.0,2.0,29.0,10.0,17.0,8.0,7.0,1.0,0.0,3.0,39.0,5.1,29.0,6.0,3.0,0.0,1.0,0.0,6.0,0.78,4.0,2.0,0.0,0.0,0.0,0.0,16.0,8.0,6.0,6.0,4.0,7.0,14.0,50.0,7.0,8.0,0.0,8.0,2.0,18.0,5.0,1.0,344.0,4.0,38.0,120.0,192.0,46.0,344.0,30.0,13.0,43.3,12.0,40.0,202.0,1447.0,662.0,22.0,19.0,13.0,14.0,21.0,222.0,57.0,33,20.1,8,64,0,13,14,7,1.38,14,15,-1,-0.13,-0.39,10.8,12.8,-2.1,-0.27,-0.48,0.0,0.0,0.0,7.0,12.0,1.0,0.0,0.0,0.0,26.0,3.0,5.0,37.5
Carl Rushworth,eng ENG,GK,23,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,14,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Carlos Baleba,cm CMR,MF,20,34,31,2661,29.6,3,1,4,3,0,0,8,1,3.1,3.1,1.3,4.4,43,118,29,0.10,0.03,0.14,0.10,0.14,0.10,0.05,0.15,0.10,0.15,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,cm CMR,MF,20.0,29.6,3.0,44.0,11.0,25.0,1.49,0.37,0.07,0.27,25.5,1.0,0.0,3.1,3.1,0.07,-0.1,-0.1,Matches,Brighton,1149.0,1314.0,87.4,19305.0,4741.0,544.0,591.0,92.0,487.0,528.0,92.2,94.0,148.0,63.5,1.0,1.3,1.2,-0.3,21.0,109.0,23.0,3.0,118.0,1289.0,23.0,10.0,7.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,2.0,14.0,66.0,2.23,55.0,0.0,2.0,5.0,1.0,3.0,4.0,0.14,2.0,0.0,0.0,0.0,1.0,1.0,79.0,46.0,26.0,37.0,16.0,48.0,80.0,60.0,32.0,47.0,11.0,36.0,46.0,125.0,44.0,1.0,1697.0,94.0,410.0,994.0,339.0,12.0,1697.0,57.0,33.0,57.9,20.0,35.1,971.0,5692.0,2810.0,43.0,45.0,3.0,39.0,42.0,1035.0,29.0,78,77.8,31,83,15,3,27,2,1.68,55,39,+16,+0.54,+1.61,47.0,39.6,+7.4,+0.25,+0.64,8.0,1.0,1.0,40.0,48.0,0.0,0.0,2.0,0.0,197.0,39.0,26.0,60.0
Charlie Tasker,eng ENG,DF,18,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,5,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Danny Welbeck,eng ENG,FW,33,30,24,2115,23.5,10,4,14,9,1,1,5,0,9.6,8.8,1.4,10.1,21,47,95,0.43,0.17,0.60,0.38,0.55,0.41,0.06,0.46,0.37,0.43,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,FW,33.0,23.5,10.0,59.0,23.0,39.0,2.51,0.98,0.15,0.39,15.3,9.0,1.0,9.6,8.8,0.15,0.4,0.2,Matches,Brighton,417.0,491.0,84.9,4936.0,1008.0,277.0,316.0,87.7,91.0,105.0,86.7,11.0,12.0,91.7,4.0,1.4,1.4,2.6,23.0,18.0,14.0,0.0,47.0,472.0,18.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,13.0,53.0,2.26,39.0,1.0,3.0,4.0,6.0,0.0,8.0,0.34,7.0,0.0,0.0,1.0,0.0,0.0,26.0,16.0,6.0,15.0,5.0,8.0,20.0,40.0,12.0,19.0,4.0,15.0,5.0,31.0,14.0,0.0,726.0,18.0,58.0,318.0,356.0,102.0,725.0,37.0,13.0,35.1,21.0,56.8,448.0,2065.0,890.0,21.0,23.0,8.0,49.0,28.0,547.0,95.0,71,61.8,24,84,11,6,17,0,1.70,41,37,+4,+0.17,-0.04,34.9,36.8,-1.8,-0.08,-0.49,5.0,0.0,0.0,11.0,23.0,4.0,0.0,0.0,0.0,46.0,17.0,32.0,34.7
