Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Min_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKsv,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Expected_xG_stats_shooting_9,Expected_npxG_stats_shooting_9,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_CrdY_stats_misc_9,Performance_CrdR_stats_misc_9,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Diego Gómez,py PAR,MF,21,16,4,516,5.7,1,0,1,1,0,0,0,0,0.9,0.9,0.7,1.6,8,27,23,0.17,0.00,0.17,0.17,0.17,0.15,0.13,0.28,0.15,0.28,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,py PAR,MF,21.0,5.7,1.0,9.0,3.0,33.3,1.57,0.52,0.11,0.33,19.6,2.0,0.0,0.9,0.9,0.09,0.1,0.1,Matches,Brighton,243.0,302.0,80.5,3715.0,931.0,138.0,159.0,86.8,84.0,100.0,84.0,14.0,25.0,56.0,0.0,0.7,1.2,-0.7,8.0,14.0,7.0,1.0,27.0,283.0,19.0,2.0,4.0,2.0,12.0,1.0,6.0,2.0,3.0,0.0,0.0,9.0,19.0,3.32,14.0,3.0,0.0,1.0,1.0,0.0,4.0,0.7,2.0,1.0,0.0,0.0,1.0,0.0,21.0,13.0,11.0,8.0,2.0,12.0,22.0,54.5,10.0,13.0,0.0,13.0,8.0,29.0,10.0,1.0,403.0,21.0,87.0,212.0,109.0,10.0,403.0,12.0,6.0,50.0,6.0,50.0,193.0,746.0,365.0,8.0,4.0,0.0,10.0,9.0,247.0,23.0,32,15.1,4,72,0,12,19,1,1.88,16,13,+3,+0.52,+0.40,14.0,9.1,+4.9,+0.86,+0.88,0.0,0.0,0.0,8.0,3.0,1.0,1.0,0.0,0.0,32.0,10.0,4.0,71.4
Eiran Cashin,ie IRL,DF,22,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ie IRL,DF,22.0,0.2,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Brighton,23.0,28.0,82.1,407.0,196.0,9.0,10.0,90.0,13.0,13.0,100.0,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,32.0,2.0,10.0,20.0,2.0,0.0,32.0,1.0,0.0,0.0,1.0,100.0,21.0,133.0,99.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,10,0.6,0,N/a,0,2,10,9,0.00,0,2,-2,-9.00,-9.24,0.4,0.4,0.0,-0.19,-0.30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,66.7
Evan Ferguson,ie IRL,FW,19,13,2,246,2.7,1,0,1,1,0,0,0,0,0.5,0.5,0.4,1.0,2,1,9,0.37,0.00,0.37,0.37,0.37,0.20,0.15,0.35,0.20,0.35,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ie IRL,FW,19.0,2.7,1.0,7.0,2.0,28.6,2.56,0.73,0.14,0.5,19.2,1.0,0.0,0.5,0.5,0.08,0.5,0.5,Matches,Brighton,43.0,58.0,74.1,484.0,44.0,31.0,36.0,86.1,8.0,11.0,72.7,1.0,4.0,25.0,0.0,0.4,0.4,-0.4,3.0,1.0,0.0,0.0,1.0,52.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.47,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,3.0,1.0,2.0,5.0,40.0,3.0,3.0,1.0,2.0,0.0,4.0,4.0,0.0,88.0,7.0,13.0,50.0,26.0,9.0,88.0,2.0,1.0,50.0,1.0,50.0,42.0,183.0,56.0,2.0,1.0,2.0,5.0,6.0,52.0,9.0,19,7.2,2,65,0,11,11,2,0.92,4,7,-3,-1.10,-1.38,2.9,4.8,-1.9,-0.71,-0.88,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,10.0,4.0,9.0,30.8
Ferdi Kadioglu,tr TUR,"DF,MF",24,6,5,385,4.3,1,0,1,1,0,0,1,0,0.4,0.4,0.2,0.6,1,15,27,0.23,0.00,0.23,0.23,0.23,0.10,0.04,0.14,0.10,0.14,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,tr TUR,"DF,MF",24.0,4.3,1.0,4.0,1.0,25.0,0.94,0.23,0.25,1.0,15.1,0.0,0.0,0.4,0.4,0.11,0.6,0.6,Matches,Brighton,144.0,175.0,82.3,2372.0,698.0,73.0,82.0,89.0,61.0,74.0,82.4,9.0,14.0,64.3,0.0,0.2,0.3,-0.2,5.0,10.0,9.0,4.0,15.0,157.0,17.0,2.0,1.0,0.0,9.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,13.0,3.03,11.0,0.0,0.0,0.0,1.0,1.0,2.0,0.47,2.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,4.0,5.0,1.0,6.0,15.0,40.0,9.0,2.0,2.0,0.0,8.0,18.0,17.0,0.0,231.0,13.0,71.0,91.0,72.0,9.0,231.0,7.0,3.0,42.9,3.0,42.9,124.0,479.0,183.0,1.0,0.0,0.0,6.0,2.0,144.0,27.0,64,11.3,5,72,1,1,23,1,1.33,5,8,-3,-0.70,-1.00,5.2,9.3,-4.1,-0.96,-1.20,1.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,14.0,3.0,1.0,75.0
Freddie Simmonds,eng ENG,DF,16,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Georginio Rutter,fr FRA,"MF,FW",22,28,19,1656,18.4,5,3,8,5,0,0,2,0,4.6,4.6,2.5,7.1,42,67,79,0.27,0.16,0.43,0.27,0.43,0.25,0.14,0.39,0.25,0.39,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,fr FRA,"MF,FW",22.0,18.4,5.0,50.0,12.0,24.0,2.72,0.65,0.1,0.42,15.5,0.0,0.0,4.6,4.6,0.09,0.4,0.4,Matches,Brighton,237.0,355.0,66.8,3344.0,1174.0,144.0,187.0,77.0,74.0,111.0,66.7,10.0,16.0,62.5,3.0,2.5,1.7,0.5,19.0,30.0,16.0,1.0,67.0,344.0,9.0,0.0,12.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,64.0,3.47,37.0,0.0,9.0,7.0,9.0,2.0,8.0,0.43,3.0,0.0,3.0,1.0,1.0,0.0,39.0,15.0,13.0,18.0,8.0,14.0,36.0,38.9,22.0,20.0,3.0,17.0,10.0,49.0,13.0,2.0,641.0,20.0,83.0,246.0,326.0,79.0,641.0,71.0,27.0,38.0,34.0,47.9,361.0,2467.0,1405.0,42.0,36.0,16.0,45.0,37.0,411.0,79.0,59,48.4,19,76,3,9,24,0,1.57,32,29,+3,+0.16,-0.04,27.1,27.3,-0.3,-0.01,-0.24,2.0,0.0,0.0,34.0,45.0,7.0,0.0,1.0,0.0,66.0,25.0,46.0,35.2
Harry Howell,eng ENG,FW,15,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,FW,15.0,0.1,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Brighton,8.0,9.0,88.9,100.0,8.0,4.0,4.0,100.0,3.0,4.0,75.0,0.0,0.0,N/a,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1.0,1.0,7.0,4.0,3.0,12.0,0.0,0.0,N/a,0.0,N/a,9.0,48.0,8.0,0.0,0.0,1.0,0.0,0.0,10.0,3.0,7,0.2,0,N/a,0,1,7,4,3.00,1,0,+1,+12.86,+12.70,0.8,0.0,+0.8,+10.62,+10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a
Igor,br BRA,DF,26,13,10,961,10.7,0,0,0,0,0,0,4,0,0.0,0.0,0.2,0.2,9,49,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,br BRA,DF,26.0,10.7,0.0,1.0,0.0,0.0,0.09,0.0,0.0,N/a,14.1,0.0,0.0,0.0,0.0,0.05,0.0,0.0,Matches,Brighton,671.0,730.0,91.9,12145.0,3851.0,262.0,271.0,96.7,364.0,384.0,94.8,42.0,59.0,71.2,0.0,0.2,0.3,-0.2,2.0,39.0,2.0,1.0,49.0,680.0,48.0,12.0,3.0,4.0,4.0,11.0,0.0,0.0,0.0,0.0,2.0,5.0,14.0,1.31,12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,2.0,1.0,4.0,10.0,40.0,6.0,24.0,14.0,10.0,4.0,9.0,39.0,1.0,816.0,109.0,385.0,381.0,54.0,1.0,816.0,6.0,5.0,83.3,1.0,16.7,530.0,2962.0,1837.0,9.0,14.0,0.0,1.0,0.0,606.0,1.0,74,28.1,10,84,8,3,39,10,1.54,17,17,0,0.00,-0.26,14.9,17.4,-2.5,-0.23,-0.48,4.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,42.0,8.0,6.0,57.1
Imari Samuels,eng ENG,DF,21,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,2,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Jack Hinshelwood,eng ENG,"MF,DF",19,26,22,1842,20.5,5,2,7,5,0,0,5,0,2.7,2.7,1.5,4.2,19,68,54,0.24,0.10,0.34,0.24,0.34,0.13,0.07,0.21,0.13,0.21,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,"MF,DF",19.0,20.5,5.0,18.0,10.0,55.6,0.88,0.49,0.28,0.5,12.2,0.0,0.0,2.7,2.7,0.15,2.3,2.3,Matches,Brighton,870.0,1046.0,83.2,13114.0,3047.0,510.0,562.0,90.7,280.0,333.0,84.1,56.0,107.0,52.3,2.0,1.5,1.5,0.5,17.0,36.0,9.0,2.0,68.0,927.0,118.0,27.0,0.0,8.0,27.0,75.0,8.0,4.0,1.0,1.0,1.0,11.0,35.0,1.71,28.0,4.0,0.0,2.0,1.0,0.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,8.0,10.0,9.0,11.0,27.0,40.7,16.0,10.0,3.0,7.0,16.0,43.0,37.0,1.0,1199.0,50.0,322.0,560.0,323.0,35.0,1199.0,11.0,2.0,18.2,8.0,72.7,590.0,2435.0,1189.0,19.0,20.0,2.0,18.0,3.0,762.0,54.0,71,53.9,22,82,12,4,11,0,1.73,39,30,+9,+0.44,+0.55,31.9,29.7,+2.1,+0.10,-0.01,5.0,0.0,0.0,18.0,9.0,0.0,0.0,0.0,0.0,63.0,20.0,16.0,55.6
Jacob Slater,ie IRL,DF,19,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,3,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Jakub Moder,pl POL,MF,25,4,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,1.45,1.45,0.00,1.45,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,pl POL,MF,25.0,0.1,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Brighton,18.0,22.0,81.8,254.0,82.0,10.0,14.0,71.4,8.0,8.0,100.0,0.0,0.0,N/a,0.0,0.2,0.5,-0.2,3.0,0.0,1.0,1.0,4.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.73,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,27.0,2.0,7.0,12.0,9.0,1.0,27.0,0.0,0.0,N/a,0.0,N/a,13.0,93.0,62.0,2.0,3.0,0.0,0.0,0.0,14.0,0.0,3,0.3,0,N/a,0,4,3,9,1.75,0,0,0,0.00,-0.18,0.4,0.3,+0.2,+1.30,+1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
James Milner,eng ENG,MF,38,4,3,170,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,1,10,10,0.00,0.00,0.00,0.00,0.00,0.09,0.12,0.21,0.09,0.21,Matches,Brighton,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,MF,38.0,1.9,0.0,2.0,0.0,0.0,1.06,0.0,0.0,N/a,16.0,0.0,0.0,0.2,0.2,0.08,-0.2,-0.2,Matches,Brighton,55.0,74.0,74.3,899.0,347.0,26.0,28.0,92.9,23.0,30.0,76.7,4.0,11.0,36.4,0.0,0.2,0.2,-0.2,4.0,3.0,1.0,1.0,10.0,63.0,11.0,4.0,2.0,0.0,8.0,0.0,6.0,2.0,3.0,0.0,0.0,1.0,8.0,4.24,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,3.0,1.0,3.0,3.0,100.0,0.0,4.0,2.0,2.0,2.0,7.0,2.0,1.0,93.0,3.0,13.0,49.0,31.0,4.0,93.0,1.0,1.0,100.0,0.0,0.0,47.0,223.0,97.0,1.0,1.0,0.0,0.0,0.0,59.0,10.0,43,5.0,3,56,0,1,1,0,2.50,4,1,+3,+1.59,+1.48,2.8,2.0,+0.8,+0.42,+0.33,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
