Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Starts_stats_keeper_9,Playing Time_Min_stats_keeper_9,Playing Time_90s_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_stats_shooting_9,Expected_npxG_stats_shooting_9,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_CrdY_stats_misc_9,Performance_CrdR_stats_misc_9,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Harry Winks,eng ENG,MF,28,22,17,1538,17.1,0,2,2,0,0,0,4,0,0.2,0.2,1.2,1.5,19,101,11,0.00,0.12,0.12,0.00,0.12,0.01,0.07,0.09,0.01,0.09,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,MF,28.0,17.1,0.0,10.0,4.0,40.0,0.59,0.23,0.0,0.0,29.2,0.0,0.0,0.0,0.2,0.2,0.02,-0.2,-0.2,Matches,Leicester City,910.0,1045.0,87.1,14101.0,5048.0,471.0,511.0,92.2,362.0,397.0,91.2,44.0,76.0,57.9,2.0,1.2,1.5,0.8,17.0,110.0,7.0,5.0,101.0,981.0,61.0,35.0,4.0,2.0,34.0,5.0,16.0,11.0,3.0,0.0,3.0,11.0,39.0,2.28,29.0,7.0,1.0,1.0,1.0,0.0,3.0,0.18,2.0,1.0,0.0,0.0,0.0,0.0,24.0,11.0,12.0,10.0,2.0,13.0,30.0,43.3,17.0,19.0,7.0,12.0,9.0,33.0,20.0,0.0,1158.0,49.0,275.0,746.0,151.0,1.0,1158.0,12.0,3.0,25.0,8.0,66.7,696.0,3268.0,1522.0,19.0,13.0,0.0,13.0,8.0,827.0,11.0,70,45.0,17,80,12,5,34,3,0.45,17,34,-17,-0.99,+0.44,16.4,28.9,-12.5,-0.73,+0.55,4.0,0.0,0.0,9.0,13.0,0.0,0.0,0.0,0.0,106.0,8.0,6.0,57.1
Henry Cartwright,eng ENG,MF,19,0,0,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,0,N/a,0,0,N/a,1,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
Jake Evans,eng ENG,FW,15,4,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,FW,15.0,0.3,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Leicester City,2.0,3.0,66.7,24.0,9.0,1.0,1.0,100.0,1.0,2.0,50.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0,3.0,1.0,0.0,5.0,0.0,0.0,N/a,0.0,N/a,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,6,0.7,0,N/a,0,4,6,1,1.75,0,1,-1,-3.75,-2.53,0.1,0.2,-0.2,-0.57,+0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jakub Stolarczyk,pl POL,GK,23,10,10,900,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Leicester City,pl POL,GK,23.0,10.0,10.0,900.0,10.0,16.0,1.6,44.0,28.0,63.6,3.0,1.0,6.0,2.0,20.0,0.0,0.0,0.0,0.0,N/a,Matches,Leicester City,2.0,0.0,15.4,0.35,-0.6,-0.06,57.0,195.0,29.2,328.0,36.0,46.3,34.2,58.0,74.1,50.2,169.0,10.0,5.9,8.0,0.8,12.5,pl POL,GK,23.0,10.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Leicester City,238.0,386.0,61.7,6215.0,4560.0,70.0,70.0,100.0,91.0,94.0,96.8,76.0,220.0,34.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,286.0,100.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,411.0,309.0,406.0,6.0,0.0,0.0,411.0,0.0,0.0,N/a,0.0,N/a,221.0,983.0,595.0,0.0,0.0,0.0,1.0,0.0,225.0,0.0,90,26.3,10,90,10,0,N/a,11,1.00,10,16,-6,-0.60,+0.86,9.4,14.4,-5.0,-0.50,+0.72,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,100.0
James Justin,eng ENG,DF,26,36,34,2912,32.4,2,2,4,2,0,0,6,0,1.5,1.5,0.8,2.3,39,91,96,0.06,0.06,0.12,0.06,0.12,0.05,0.03,0.07,0.05,0.07,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,26.0,32.4,2.0,25.0,6.0,24.0,0.77,0.19,0.08,0.33,16.2,2.0,0.0,0.0,1.5,1.5,0.06,0.5,0.5,Matches,Leicester City,1205.0,1541.0,78.2,18606.0,5922.0,625.0,718.0,87.0,497.0,586.0,84.8,48.0,136.0,35.3,2.0,0.8,0.8,1.2,14.0,76.0,23.0,8.0,91.0,1268.0,270.0,22.0,1.0,2.0,57.0,248.0,0.0,0.0,0.0,0.0,3.0,40.0,33.0,1.02,21.0,2.0,1.0,4.0,5.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,58.0,37.0,29.0,23.0,6.0,32.0,55.0,58.2,23.0,48.0,17.0,31.0,46.0,104.0,141.0,3.0,1948.0,151.0,692.0,881.0,387.0,38.0,1948.0,30.0,9.0,30.0,13.0,43.3,866.0,3649.0,1788.0,39.0,27.0,4.0,31.0,15.0,1077.0,96.0,81,85.1,34,84,23,2,27,1,0.67,31,68,-37,-1.14,+0.63,28.3,62.4,-34.1,-1.05,-0.15,6.0,0.0,0.0,29.0,44.0,2.0,0.0,0.0,0.0,88.0,69.0,55.0,55.6
Jamie Vardy,eng ENG,FW,37,35,35,2823,31.4,9,4,13,8,1,2,5,0,11.2,9.6,3.0,12.6,29,22,120,0.29,0.13,0.41,0.26,0.38,0.36,0.10,0.45,0.31,0.40,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,FW,37.0,31.4,9.0,56.0,23.0,41.1,1.79,0.73,0.14,0.35,12.1,1.0,1.0,2.0,11.2,9.6,0.17,-2.2,-1.6,Matches,Leicester City,258.0,389.0,66.3,3776.0,424.0,141.0,190.0,74.2,86.0,114.0,75.4,15.0,22.0,68.2,4.0,3.0,2.6,1.0,19.0,11.0,10.0,1.0,22.0,335.0,47.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,47.0,1.5,33.0,0.0,6.0,2.0,6.0,0.0,10.0,0.32,5.0,0.0,2.0,1.0,2.0,0.0,19.0,13.0,7.0,7.0,5.0,4.0,13.0,30.8,9.0,8.0,4.0,4.0,5.0,24.0,24.0,0.0,586.0,30.0,61.0,272.0,260.0,111.0,584.0,23.0,11.0,47.8,10.0,43.5,285.0,1504.0,717.0,29.0,13.0,16.0,34.0,14.0,382.0,120.0,81,82.5,35,81,20,0,N/a,0,0.71,28,68,-40,-1.28,-0.22,27.5,61.9,-34.4,-1.10,-0.36,5.0,0.0,0.0,25.0,23.0,27.0,2.0,0.0,0.0,39.0,50.0,55.0,47.6
Jannik Vestergaard,dk DEN,DF,31,18,16,1391,15.5,0,0,0,0,0,0,5,0,0.1,0.1,0.1,0.2,3,32,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,dk DEN,DF,31.0,15.5,0.0,3.0,2.0,66.7,0.19,0.13,0.0,0.0,9.7,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,Matches,Leicester City,870.0,959.0,90.7,14697.0,5807.0,397.0,418.0,95.0,416.0,444.0,93.7,48.0,81.0,59.3,0.0,0.1,0.1,-0.1,3.0,34.0,1.0,0.0,32.0,890.0,68.0,26.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,0.45,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,10.0,16.0,6.0,0.0,9.0,15.0,60.0,6.0,21.0,14.0,7.0,16.0,38.0,74.0,1.0,1092.0,196.0,572.0,497.0,28.0,10.0,1092.0,4.0,4.0,100.0,0.0,0.0,672.0,2932.0,1458.0,3.0,3.0,0.0,2.0,0.0,757.0,2.0,77,40.7,16,81,10,2,51,2,0.50,7,35,-28,-1.81,-0.97,12.0,24.8,-12.9,-0.83,+0.34,5.0,0.0,0.0,12.0,4.0,0.0,0.0,0.0,1.0,46.0,26.0,19.0,57.8
Jeremy Monga,N/a,"FW,MF",15,7,0,112,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,6,3,10,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.14,0.13,0.14,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,"FW,MF",15.0,1.2,0.0,3.0,1.0,33.3,2.41,0.8,0.0,0.0,19.8,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,Matches,Leicester City,18.0,29.0,62.1,215.0,53.0,13.0,15.0,86.7,5.0,6.0,83.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,28.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.61,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,100.0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,0.0,51.0,1.0,9.0,16.0,27.0,5.0,51.0,7.0,2.0,28.6,3.0,42.9,37.0,336.0,157.0,6.0,2.0,3.0,5.0,2.0,32.0,10.0,16,3.3,0,N/a,0,7,16,0,1.00,2,3,-1,-0.80,+0.45,0.9,1.6,-0.6,-0.52,+0.53,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0
Jordan Ayew,gh GHA,"FW,MF",32,30,19,1638,18.2,5,0,5,4,1,1,5,0,3.2,2.4,1.1,3.5,49,46,86,0.27,0.00,0.27,0.22,0.22,0.17,0.06,0.24,0.13,0.19,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,gh GHA,"FW,MF",32.0,18.2,5.0,31.0,8.0,25.8,1.7,0.44,0.13,0.5,18.8,4.0,1.0,1.0,3.2,2.4,0.08,1.8,1.6,Matches,Leicester City,401.0,540.0,74.3,5942.0,1216.0,219.0,252.0,86.9,138.0,183.0,75.4,24.0,59.0,40.7,0.0,1.1,1.5,-1.1,16.0,25.0,14.0,7.0,46.0,490.0,49.0,13.0,3.0,2.0,60.0,5.0,28.0,15.0,8.0,3.0,1.0,11.0,41.0,2.25,24.0,8.0,3.0,4.0,1.0,1.0,2.0,0.11,1.0,0.0,0.0,1.0,0.0,0.0,27.0,15.0,8.0,14.0,5.0,7.0,23.0,30.4,16.0,21.0,2.0,19.0,12.0,39.0,19.0,0.0,798.0,21.0,103.0,407.0,312.0,55.0,797.0,64.0,26.0,40.6,32.0,50.0,479.0,3374.0,1540.0,49.0,37.0,11.0,63.0,40.0,540.0,86.0,55,47.9,19,77,4,11,16,6,0.77,17,41,-24,-1.32,-0.16,16.1,28.9,-12.7,-0.70,+0.64,5.0,0.0,0.0,30.0,59.0,7.0,0.0,0.0,0.0,93.0,37.0,80.0,31.6
Kasey McAteer,ie IRL,FW,22,18,9,852,9.5,1,1,2,1,0,0,3,0,1.0,1.0,0.7,1.7,19,14,71,0.11,0.11,0.21,0.11,0.21,0.11,0.08,0.18,0.11,0.18,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ie IRL,FW,22.0,9.5,1.0,13.0,7.0,53.8,1.37,0.74,0.08,0.14,16.4,0.0,0.0,0.0,1.0,1.0,0.08,0.0,0.0,Matches,Leicester City,183.0,252.0,72.6,2556.0,613.0,118.0,140.0,84.3,54.0,72.0,75.0,6.0,12.0,50.0,1.0,0.7,0.6,0.3,9.0,13.0,6.0,2.0,14.0,241.0,7.0,0.0,0.0,0.0,21.0,7.0,0.0,0.0,0.0,0.0,4.0,13.0,20.0,2.11,18.0,0.0,0.0,0.0,2.0,0.0,2.0,0.21,1.0,0.0,0.0,0.0,1.0,0.0,23.0,16.0,11.0,9.0,3.0,14.0,29.0,48.3,15.0,18.0,2.0,16.0,5.0,28.0,15.0,0.0,379.0,21.0,76.0,141.0,169.0,30.0,379.0,25.0,6.0,24.0,15.0,60.0,224.0,1455.0,575.0,19.0,11.0,9.0,20.0,16.0,243.0,71.0,47,24.9,9,78,1,9,16,2,0.78,10,16,-6,-0.63,+0.80,10.0,19.6,-9.5,-1.01,+0.04,3.0,0.0,0.0,18.0,15.0,3.0,0.0,0.0,0.0,45.0,13.0,17.0,43.3
Luke Thomas,eng ENG,DF,23,14,13,1110,12.3,0,0,0,0,0,0,3,0,0.4,0.4,0.5,0.9,5,37,16,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,23.0,12.3,0.0,5.0,0.0,0.0,0.41,0.0,0.0,N/a,16.8,0.0,0.0,0.0,0.4,0.4,0.07,-0.4,-0.4,Matches,Leicester City,493.0,629.0,78.4,8065.0,2702.0,245.0,267.0,91.8,205.0,251.0,81.7,35.0,82.0,42.7,0.0,0.5,0.5,-0.5,9.0,32.0,5.0,2.0,37.0,518.0,108.0,20.0,0.0,0.0,29.0,80.0,8.0,4.0,3.0,0.0,3.0,14.0,16.0,1.3,12.0,3.0,0.0,0.0,0.0,1.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0,31.0,25.0,23.0,5.0,3.0,21.0,41.0,51.2,20.0,15.0,6.0,9.0,21.0,52.0,49.0,1.0,775.0,50.0,294.0,366.0,120.0,8.0,775.0,6.0,3.0,50.0,3.0,50.0,371.0,1457.0,585.0,5.0,8.0,2.0,12.0,4.0,431.0,16.0,79,32.5,13,85,9,1,4,11,0.57,8,23,-15,-1.22,+0.03,8.2,24.5,-16.2,-1.32,-0.42,3.0,0.0,0.0,16.0,10.0,0.0,0.0,1.0,0.0,42.0,13.0,11.0,54.2
Mads Hermansen,dk DEN,GK,24,27,27,2385,26.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Leicester City,dk DEN,GK,24.0,27.0,27.0,2385.0,26.5,58.0,2.19,155.0,99.0,64.5,3.0,6.0,18.0,1.0,3.7,4.0,3.0,1.0,0.0,25.0,Matches,Leicester City,3.0,3.0,56.4,0.35,1.4,0.05,114.0,471.0,24.2,926.0,133.0,39.2,34.6,143.0,75.5,51.5,419.0,26.0,6.2,26.0,0.98,13.1,dk DEN,GK,24.0,26.5,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Leicester City,654.0,1073.0,61.0,17066.0,12387.0,151.0,155.0,97.4,312.0,329.0,94.8,191.0,584.0,32.7,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,1.0,840.0,229.0,86.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,0.0,1.0,13.0,4.0,1147.0,831.0,1106.0,43.0,0.0,0.0,1147.0,1.0,1.0,100.0,0.0,0.0,734.0,3625.0,1904.0,0.0,0.0,0.0,1.0,0.0,625.0,0.0,88,69.7,27,88,26,0,N/a,0,0.56,23,58,-35,-1.32,-0.28,22.4,54.1,-31.7,-1.20,-0.54,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,17.0,4.0,1.0,80.0
Michael Golding,eng ENG,MF,18,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,MF,18.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Leicester City,0.0,0.0,N/a,0.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,N/a,0,1,1,1,3.00,0,0,0,0.00,+1.24,0.0,0.0,0.0,0.00,+1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a
Odsonne Édouard,fr FRA,FW,26,4,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,fr FRA,FW,26.0,0.3,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Leicester City,6.0,8.0,75.0,59.0,5.0,3.0,4.0,75.0,1.0,1.0,100.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.21,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,20.0,1.0,2.0,7.0,11.0,6.0,20.0,2.0,1.0,50.0,1.0,50.0,11.0,25.0,2.0,0.0,0.0,1.0,7.0,2.0,13.0,2.0,7,0.8,0,N/a,0,4,7,3,1.00,0,1,-1,-3.10,-1.88,0.1,1.6,-1.5,-4.64,-3.64,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0
Olabade Aluko,N/a,DF,N/a,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Leicester City,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,DF,N/a,0.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Leicester City,3.0,5.0,60.0,39.0,0.0,2.0,3.0,66.7,1.0,2.0,50.0,0.0,0.0,N/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,6.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,100.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2,0.1,0,N/a,0,1,2,1,0.00,0,0,0,0.00,+1.24,0.0,0.0,0.0,-2.09,-1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/a
