Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 1_level_0_Nation_stats_keeper_9,Unnamed: 2_level_0_Pos_stats_keeper_9,Unnamed: 3_level_0_Age_stats_keeper_9,Playing Time_MP,Playing Time_Min_stats_keeper_9,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Unnamed: 23_level_0_Matches,Team_stats_keeper_9,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 1_level_0_Nation_stats_shooting_9,Unnamed: 2_level_0_Pos_stats_shooting_9,Unnamed: 3_level_0_Age_stats_shooting_9,Unnamed: 4_level_0_90s_stats_shooting_9,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG_stats_shooting_9,Expected_npxG_stats_shooting_9,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Unnamed: 22_level_0_Matches,Team_stats_shooting_9,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 19_level_0_Ast,Unnamed: 20_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 23_level_0_KP,Unnamed: 24_level_0_1/3,Unnamed: 25_level_0_PPA,Unnamed: 26_level_0_CrsPA,Unnamed: 27_level_0_PrgP,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Playing Time_Mn/MP,Playing Time_Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Performance_CrdY_stats_misc_9,Performance_CrdR_stats_misc_9,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Alejandro Garnacho,ar ARG,"MF,FW",20,36,23,2199,24.4,6,2,8,6,0,0,3,0,7.3,7.3,4.5,11.8,141,56,290,0.25,0.08,0.33,0.25,0.33,0.30,0.19,0.48,0.30,0.48,Matches,Manchester Utd,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ar ARG,"MF,FW",20.0,24.4,6.0,84.0,29.0,34.5,3.44,1.19,0.07,0.21,17.0,0.0,0.0,0.0,7.3,7.3,0.09,-1.3,-1.3,Matches,Manchester Utd,649.0,823.0,78.9,9138.0,1181.0,405.0,458.0,88.4,183.0,223.0,82.1,31.0,52.0,59.6,2.0,4.5,2.8,-2.5,37.0,22.0,25.0,5.0,56.0,798.0,24.0,3.0,2.0,9.0,56.0,16.0,2.0,1.0,0.0,0.0,1.0,54.0,83.0,3.4,64.0,1.0,3.0,9.0,6.0,0.0,6.0,0.25,4.0,0.0,0.0,1.0,1.0,0.0,30.0,18.0,11.0,6.0,13.0,12.0,37.0,32.4,25.0,19.0,0.0,19.0,13.0,43.0,11.0,2.0,1159.0,13.0,130.0,364.0,683.0,176.0,1159.0,89.0,26.0,29.2,55.0,61.8,840.0,6365.0,3245.0,141.0,72.0,67.0,64.0,48.0,888.0,290.0,61,64.3,23,81,14,13,26,0,1.00,26,36,-10,-0.41,-0.41,35.6,35.0,+0.5,+0.02,+0.15,3.0,0.0,0.0,12.0,43.0,10.0,0.0,0.0,0.0,108.0,3.0,24.0,11.1
Altay Bayındır,tr TUR,GK,26,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Manchester Utd,tr TUR,GK,26.0,4.0,360.0,10.0,2.5,17.0,8.0,41.2,1.0,0.0,3.0,1.0,25.0,0.0,0.0,0.0,0.0,N/a,Matches,Manchester Utd,0.0,0.0,1.0,10.1,0.59,1.1,0.27,13.0,62.0,21.0,128.0,12.0,34.4,34.1,24.0,75.0,53.8,56.0,4.0,7.1,7.0,1.75,12.0,tr TUR,GK,26.0,4.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Manchester Utd,92.0,152.0,60.5,2444.0,1386.0,13.0,13.0,100.0,52.0,55.0,94.5,26.0,81.0,32.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,121.0,31.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,168.0,145.0,166.0,2.0,0.0,0.0,168.0,0.0,0.0,N/a,0.0,N/a,110.0,432.0,196.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,90,10.5,4,90,4,0,N/a,27,0.75,6,10,-4,-1.00,-0.82,7.3,7.0,+0.3,+0.06,+0.11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,50.0
Amad Diallo,ci CIV,"MF,FW",22,26,20,1901,21.1,8,6,14,8,0,0,5,0,4.7,4.7,4.9,9.6,109,60,200,0.38,0.28,0.66,0.38,0.66,0.22,0.23,0.45,0.22,0.45,Matches,Manchester Utd,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,ci CIV,"MF,FW",22.0,21.1,8.0,47.0,17.0,36.2,2.23,0.8,0.17,0.47,17.5,0.0,0.0,0.0,4.7,4.7,0.1,3.3,3.3,Matches,Manchester Utd,795.0,949.0,83.8,11030.0,2193.0,493.0,542.0,91.0,227.0,264.0,86.0,40.0,72.0,55.6,6.0,4.9,4.2,1.1,49.0,27.0,35.0,7.0,60.0,859.0,86.0,5.0,3.0,1.0,42.0,49.0,32.0,23.0,1.0,1.0,4.0,20.0,97.0,4.59,65.0,9.0,10.0,3.0,6.0,4.0,18.0,0.85,7.0,0.0,4.0,1.0,2.0,4.0,38.0,31.0,9.0,20.0,9.0,19.0,32.0,59.4,13.0,15.0,2.0,13.0,11.0,49.0,19.0,1.0,1207.0,16.0,175.0,443.0,607.0,131.0,1207.0,88.0,41.0,46.6,43.0,48.9,782.0,5295.0,2750.0,109.0,53.0,66.0,42.0,35.0,854.0,200.0,73,55.6,20,87,14,6,28,2,1.08,28,30,-2,-0.09,+0.38,31.8,31.4,+0.4,+0.02,+0.12,5.0,0.0,0.0,21.0,28.0,9.0,2.0,0.0,0.0,109.0,10.0,15.0,40.0
André Onana,cm CMR,GK,28,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,Manchester Utd,cm CMR,GK,28.0,34.0,3060.0,44.0,1.29,132.0,88.0,68.9,10.0,9.0,15.0,9.0,26.5,4.0,3.0,1.0,0.0,25.0,Matches,Manchester Utd,1.0,10.0,1.0,44.0,0.31,1.0,0.03,118.0,440.0,26.8,1152.0,136.0,29.7,30.3,149.0,65.8,47.2,399.0,22.0,5.5,23.0,0.68,11.8,cm CMR,GK,28.0,34.0,0.0,0.0,0.0,N/a,0.0,0.0,N/a,N/a,N/a,0.0,0.0,0.0,0.0,0.0,N/a,0.0,0.0,Matches,Manchester Utd,948.0,1306.0,72.6,22819.0,13922.0,220.0,222.0,99.1,524.0,529.0,99.1,199.0,544.0,36.6,0.0,0.2,0.2,-0.2,1.0,28.0,0.0,0.0,1.0,1066.0,235.0,86.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.12,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,0.0,0.0,2.0,11.0,4.0,1371.0,1046.0,1350.0,22.0,0.0,0.0,1371.0,1.0,1.0,100.0,0.0,0.0,961.0,4851.0,2676.0,0.0,0.0,0.0,1.0,0.0,832.0,0.0,90,89.5,34,90,34,0,N/a,0,1.15,38,44,-6,-0.18,+0.82,45.3,46.8,-1.5,-0.04,-0.11,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,34.0,6.0,0.0,100.0
Antony,br BRA,"DF,MF",24,8,0,141,1.6,0,0,0,0,0,0,0,0,1.0,1.0,0.1,1.1,5,6,7,0.00,0.00,0.00,0.00,0.00,0.65,0.08,0.73,0.65,0.73,Matches,Manchester Utd,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,br BRA,"DF,MF",24.0,1.6,0.0,6.0,3.0,50.0,3.83,1.91,0.0,0.0,15.8,0.0,0.0,0.0,1.0,1.0,0.17,-1.0,-1.0,Matches,Manchester Utd,56.0,69.0,81.2,688.0,111.0,45.0,51.0,88.2,9.0,14.0,64.3,1.0,1.0,100.0,0.0,0.1,0.2,-0.1,3.0,1.0,5.0,2.0,6.0,62.0,7.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,5.11,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,2.0,0.0,2.0,5.0,40.0,3.0,2.0,0.0,2.0,2.0,8.0,0.0,0.0,101.0,2.0,22.0,26.0,54.0,8.0,101.0,11.0,4.0,36.4,6.0,54.5,60.0,317.0,182.0,5.0,6.0,1.0,5.0,1.0,69.0,7.0,18,4.1,0,N/a,0,8,18,11,0.88,5,2,+3,+1.91,+2.27,4.7,2.2,+2.5,+1.60,+1.71,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0
Ayden Heaven,eng ENG,DF,17,4,2,170,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,1,7,1,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches,Manchester Utd,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,eng ENG,DF,17.0,1.9,0.0,2.0,0.0,0.0,1.06,0.0,0.0,N/a,15.5,0.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1,Matches,Manchester Utd,90.0,106.0,84.9,1542.0,458.0,35.0,39.0,89.7,51.0,56.0,91.1,3.0,7.0,42.9,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,7.0,104.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,2.12,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,0.0,2.0,2.0,100.0,0.0,2.0,2.0,0.0,4.0,8.0,9.0,0.0,136.0,30.0,68.0,60.0,10.0,2.0,136.0,4.0,2.0,50.0,2.0,50.0,95.0,491.0,259.0,1.0,1.0,0.0,3.0,1.0,93.0,1.0,43,5.0,2,58,0,2,28,4,1.75,1,1,0,0.00,+0.28,3.3,1.7,+1.6,+0.83,+0.91,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,11.0,2.0,3.0,40.0
Bruno Fernandes,pt POR,MF,29,36,35,3018,33.5,8,10,18,5,3,3,5,2,9.9,7.6,8.5,16.1,77,325,129,0.24,0.30,0.54,0.15,0.45,0.30,0.25,0.55,0.23,0.48,Matches,Manchester Utd,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,pt POR,MF,29.0,33.5,8.0,93.0,26.0,28.0,2.77,0.78,0.05,0.19,22.6,12.0,3.0,3.0,9.9,7.6,0.08,-1.9,-2.6,Matches,Manchester Utd,1707.0,2242.0,76.1,30541.0,10698.0,802.0,919.0,87.3,629.0,769.0,81.8,223.0,405.0,55.1,10.0,8.5,8.0,1.5,91.0,214.0,85.0,11.0,325.0,1988.0,237.0,98.0,31.0,22.0,186.0,19.0,91.0,44.0,22.0,5.0,17.0,55.0,193.0,5.76,136.0,37.0,5.0,6.0,7.0,2.0,13.0,0.39,10.0,2.0,0.0,1.0,0.0,0.0,84.0,50.0,27.0,38.0,19.0,34.0,85.0,40.0,51.0,35.0,6.0,29.0,26.0,110.0,35.0,3.0,2649.0,62.0,428.0,1263.0,983.0,80.0,2646.0,67.0,28.0,41.8,33.0,49.3,1542.0,7244.0,3866.0,77.0,65.0,14.0,43.0,43.0,1853.0,129.0,84,88.2,35,85,28,1,32,1,1.17,41,43,-2,-0.06,+1.73,48.5,45.2,+3.2,+0.10,+1.10,5.0,2.0,1.0,32.0,40.0,2.0,0.0,0.0,0.0,213.0,22.0,28.0,44.0
Casemiro,br BRA,MF,32,24,18,1494,16.6,1,0,1,1,0,0,5,0,1.9,1.9,2.3,4.2,4,84,28,0.06,0.00,0.06,0.06,0.06,0.11,0.14,0.25,0.11,0.25,Matches,Manchester Utd,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a,br BRA,MF,32.0,16.6,1.0,32.0,10.0,31.3,1.93,0.6,0.03,0.1,19.5,0.0,0.0,0.0,1.9,1.9,0.06,-0.9,-0.9,Matches,Manchester Utd,780.0,990.0,78.8,13010.0,4069.0,369.0,425.0,86.8,313.0,374.0,83.7,69.0,113.0,61.1,0.0,2.3,2.0,-2.3,22.0,81.0,23.0,6.0,84.0,963.0,19.0,17.0,9.0,9.0,20.0,2.0,0.0,0.0,0.0,0.0,8.0,22.0,53.0,3.19,49.0,1.0,0.0,3.0,0.0,0.0,4.0,0.24,4.0,0.0,0.0,0.0,0.0,0.0,83.0,50.0,50.0,23.0,10.0,45.0,74.0,60.8,29.0,39.0,10.0,29.0,14.0,97.0,51.0,3.0,1250.0,75.0,374.0,633.0,251.0,43.0,1250.0,6.0,3.0,50.0,3.0,50.0,660.0,2047.0,934.0,4.0,10.0,0.0,12.0,10.0,800.0,28.0,62,43.7,18,76,7,6,22,14,1.29,18,20,-2,-0.12,+0.25,22.9,23.0,-0.1,-0.01,+0.04,5.0,0.0,0.0,20.0,19.0,4.0,0.0,0.0,0.0,103.0,36.0,19.0,65.5
